School Name,School Type,Starting Median Salary,Mid-Career Median Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary
Vassar College,Liberal Arts,"$46,000.00","$94,600.00","$60,600.00","$123,000.00"
Middlebury College,Liberal Arts,"$47,700.00","$94,200.00","$69,100.00","$129,000.00"
Mount Holyoke College,Liberal Arts,"$42,400.00","$94,100.00","$57,100.00","$131,000.00"
Franklin and Marshall College,Liberal Arts,"$49,100.00","$92,800.00","$55,800.00","$185,000.00"
DePauw University,Liberal Arts,"$41,400.00","$88,300.00","$57,400.00","$133,000.00"
St. Olaf College,Liberal Arts,"$45,300.00","$86,200.00","$61,000.00","$120,000.00"
Colby College,Liberal Arts,"$46,400.00","$85,800.00","$63,500.00","$129,000.00"
Gettysburg College,Liberal Arts,"$44,700.00","$85,800.00","$66,300.00","$132,000.00"
Siena College,Liberal Arts,"$45,500.00","$85,200.00","$58,400.00","$129,000.00"
Smith College,Liberal Arts,"$44,000.00","$83,900.00","$59,800.00","$129,000.00"
Hamilton College,Liberal Arts,"$49,200.00","$83,700.00","$51,900.00","$123,000.00"
Randolph-Macon College,Liberal Arts,"$42,600.00","$83,600.00","$54,100.00","$123,000.00"
Wellesley College,Liberal Arts,"$42,800.00","$83,500.00","$58,600.00","$125,000.00"
Denison University,Liberal Arts,"$42,000.00","$83,500.00","$62,100.00","$122,000.00"
Oberlin College,Liberal Arts,"$43,400.00","$81,600.00","$46,400.00","$128,000.00"
University of Puget Sound,Liberal Arts,"$46,600.00","$81,500.00","$60,100.00","$104,000.00"
Colorado College (CC),Liberal Arts,"$38,500.00","$81,400.00","$43,000.00","$148,000.00"
Reed College,Liberal Arts,"$40,500.00","$81,100.00","$67,400.00","$101,000.00"
Gustavus Adolphus College,Liberal Arts,"$44,500.00","$80,600.00","$49,300.00","$101,000.00"
Whitman College,Liberal Arts,"$43,500.00","$80,100.00","$64,800.00","$111,000.00"
Ursinus College,Liberal Arts,"$42,100.00","$80,000.00","$54,300.00","$100,000.00"
Juniata College,Liberal Arts,"$41,800.00","$78,900.00","$67,200.00","$110,000.00"
Wittenberg University,Liberal Arts,"$39,200.00","$78,200.00","$54,100.00","$131,000.00"
Grinnell College,Liberal Arts,"$42,600.00","$76,600.00","$65,100.00","$116,000.00"
Skidmore College,Liberal Arts,"$41,600.00","$74,600.00","$42,800.00","$147,000.00"
Moravian College,Liberal Arts,"$42,500.00","$74,400.00","$56,700.00","$94,900.00"
Lewis & Clark College,Liberal Arts,"$38,900.00","$72,600.00","$53,400.00","$104,000.00"
Fort Lewis College,Liberal Arts,"$42,000.00","$69,800.00","$55,000.00","$94,000.00"
Thomas Aquinas College,Liberal Arts,"$41,500.00","$67,500.00","$44,600.00","$93,100.00"
Evergreen State College,Liberal Arts,"$39,500.00","$63,900.00","$47,200.00","$91,600.00"
Dartmouth College,Ivy League,"$58,000.00","$134,000.00","$90,200.00","$234,000.00"
